id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0iYBNrznkCwhN3xCmNVJpo,0.0125,0.5529999999999999,266933,0.807,0.00222,0.302,-5.805,0.0428,151.916,0.575
6gcNSi6b9gvDBjYO059lrF,0.333,0.4970000000000001,244267,0.434,3.11e-06,0.108,-5.73,0.0296,115.749,0.266
04LCCxG3pbOYeENiyUc7Xb,0.00215,0.599,208300,0.932,0.0,0.146,-5.622000000000001,0.0407,102.065,0.539
6OI4kx6HcKUAgZKGr9IlXg,0.00783,0.403,196592,0.617,0.0,0.148,-7.02,0.0337,150.064,0.204
68449VKGwYShObwI2UFdFt,0.00905,0.8270000000000001,272153,0.642,1.5e-06,0.0865,-4.29,0.242,145.004,0.181
57YVVhWcChlS42r0EmA9aT,0.994,0.345,105177,0.113,0.901,0.165,-24.20300000000001,0.048,68.528,0.321
3ClOMebBxeNTYCOfTH24YJ,0.0258,0.91,331360,0.6409999999999999,6.42e-05,0.0642,-11.316,0.0589,118.533,0.903
527OzwwTayP2ZYijImtf1B,0.995,0.388,168183,0.0352,0.936,0.155,-27.79,0.0614,76.21,0.442
11z8f8BH1WdIlFI9TNQ9mc,0.189,0.75,206187,0.698,0.0,0.262,-4.9430000000000005,0.0555,143.983,0.602
3hg8SvlMLkm2lT3HXvU6Lf,0.00764,0.738,185992,0.7879999999999999,0.0,0.355,-5.318,0.0435,155.078,0.307
6tLFPu4tSmS5LccfUNtbN6,0.966,0.115,168857,0.0197,0.928,0.195,-25.263,0.0375,78.449,0.0651
4mnfRzyz2dafyBaXBLZle2,0.995,0.413,162478,0.0433,0.919,0.108,-26.51,0.0538,62.834,0.223
4pWb8UZ6IPVJA3CPjCNgzq,0.216,0.383,213939,0.703,5.47e-06,0.131,-6.988,0.228,88.50200000000002,0.57
3woRy7uxzl1lO2XO99oHsN,0.612,0.6859999999999999,218624,0.469,0.0,0.121,-9.065,0.291,72.998,0.156
6sbrUkiGvMiFfzD8YU6uYs,0.304,0.66,184286,0.8809999999999999,0.0,0.376,-5.434,0.0915,112.004,0.6629999999999999
2IssBpPtHcViZL5vYQNHhA,0.812,0.737,159400,0.451,0.0,0.108,-9.405,0.229,153.766,0.664
2bdCO4UTMX1ennK2I4rFpD,0.356,0.69,213451,0.452,0.0,0.308,-8.026,0.0472,112.963,0.55
407qAIie8sIEgquKD1AAd2,0.285,0.8029999999999999,194493,0.498,1.29e-06,0.161,-5.388999999999999,0.0611,92.034,0.836
3lPj2nA1lIrWIpbnhNG57v,0.0278,0.617,208947,0.732,0.0,0.125,-6.737,0.0278,84.977,0.723
